Developmental Disability Services Office,Service Provider Agency,Street Address ,Street Address Line 2,City,State,Zip Code,Phone,County,Website Url,Intermediate Care Facilities (ICFs),Individual Residential Alternative (IRA),Family Care,Self-Direction Services,Individual Support Services (ISSs),Day Training,Day Treatment,Senior/Geriatric Services,Day Habilitation,Work Shop,Prevocational,Supported Employment Enrollments,Community Habilitation,Family Support Services,Care at Home Waiver Services,Developmental Centers And Special Population Services,Location 1
SUNMOUNT DDSO,ST REGIS MOHAWK TRIBE,71 MARGARET TERRANCE MMRL WAY,,AKWESASNE,NY,13655,518-358-9481,FRANKLIN,http://www.srmt-nsn.gov/contact,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,
CAPITAL DISTRICT DDSO,ALTERNATIVE LIVING GROUP,500 NEW KARNER ROAD,SUITE 3,ALBANY,NY,12205,518-374-0053,ALBANY,http://www.alginc.org,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,"500 NEW KARNER ROAD
ALBANY, NY 12205
(42.742603, -73.839783)"
CAPITAL DISTRICT DDSO,CATHOLIC CHARITIES OF THE DIOCESE OF ALB,1 PARK PLACE,SUITE 200,ALBANY,NY,12205,518-783-1111,ALBANY,http://www.ccdservices.org,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,"1 PARK PLACE
ALBANY, NY 12205
(42.715563, -73.81424)"
CAPITAL DISTRICT DDSO,CENTER FOR DISABILITY SERVICES  INC,314 SOUTH MANNING BOULEVARD,,ALBANY,NY,12208,518-738-0020 X3712,ALBANY,http://www.cfdsny.org,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"314 SOUTH MANNING BOULEVARD
ALBANY, NY 12208
(42.654412, -73.806297)"
CAPITAL DISTRICT DDSO,LIVING RESOURCES CORPORATION,300 WASHINGTON AVE EXTENSION,,ALBANY,NY,12203,518-218-0000,ALBANY,http://www.livingresources.org,N,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"300 WASHINGTON AVE EXTENSION
ALBANY, NY 12203
(42.708618, -73.865263)"
CENTRAL NEW YORK DDSO,UNITY HOUSE OF CAYUGA COUNTY INC.,217 GENESEE STREET,SUITE 14,AUBURN,NY,13021,315-253-6227,CAYUGA,http://www.unityhouse.com,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"217 GENESEE STREET
AUBURN, NY 13021
(42.925878, -76.577971)"
CAPITAL DISTRICT DDSO,SARATOGA CO. NYSARC  INC.,16 SARATOGA BRIDGES BOULEVARD,,BALLSTON SPA,NY,12020,518-587-0723,SARATOGA,http://www.saratogabridges.org,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"16 SARATOGA BRIDGES BOULEVARD
BALLSTON SPA, NY 12020
(43.016954, -73.793786)"
WESTERN NEW YORK DDSO,ARC OF GENESEE ORLEANS,64 WALNUT ST,,BATAVIA,NY,14020,585-343-1123,GENESEE,http://www.arcoforleans.org,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"64 WALNUT ST
BATAVIA, NY 14020
(42.99442, -78.192989)"
FINGER LAKES DDSO,STEUBEN CO. NYSARC  INC.,ONE ARC WAY,,BATH,NY,14810,607-776-4146,STEUBEN,http://arcofsteuben.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,
BERNARD M. FINESON DDSO,ANIBIC  INC.,61-35 220TH STREET,,BAYSIDE,NY,11364,718-423-9550,QUEENS,http://www.anibic.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"61-35 220TH STREET
BAYSIDE, NY 11364
(40.747678, -73.757467)"
LONG ISLAND DDSO,A.C.L.D.,807 SOUTH OYSTER BAY ROAD,,BETHPAGE,NY,11714,516-822-0028,NASSAU,http://www.acld.org,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"807 SOUTH OYSTER BAY ROAD
BETHPAGE, NY 11714
(40.761913, -73.500177)"
BROOME DDSO,ACHIEVE (DBA),125 CUTLER POND ROAD,,BINGHAMTON,NY,13905,607-723-8361,BROOME,http://www.achieveny.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"125 CUTLER POND ROAD
BINGHAMTON, NY 13905
(42.130435, -75.911633)"
BROOME DDSO,SOUTHERN TIER INDEPENDENCE CTR (STIC),135 EAST FREDERICK STREET,,BINGHAMTON,NY,13904,607-724-2111,BROOME,http://www.stic-cil.org,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,"135 EAST FREDERICK STREET
BINGHAMTON, NY 13904
(42.111349, -75.890026)"
HUDSON VALLEY DDSO,AMIC  INC.,480 ALBANY POST ROAD,,BRIARCLIFF MANOR,NY,10510,914-941-9513,WESTCHESTER,http://wwwclearviewschool.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,"480 ALBANY POST ROAD
BRIARCLIFF MANOR, NY 10510
(41.130563, -73.860992)"
METRO NEW YORK DDSO,ALLCARE PROVIDER SERVICES  INC,3040 EAST TREMONT AVENUE,ROOM 205,BRONX,NY,10461,877-391-0977,BRONX,http://allcareps.com,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"3040 EAST TREMONT AVENUE
BRONX, NY 10461
(40.839579, -73.836762)"
METRO NEW YORK DDSO,ANGELS UNAWARE  INC.,1375 NELSON AVENUE,,BRONX,NY,10452,718-410-7406,BRONX,,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"1375 NELSON AVENUE
BRONX, NY 10452
(40.841232, -73.922867)"
METRO NEW YORK DDSO,HARRIS HANDS COMMUNITY SERVICES  INC.,3439 BRUCKNER BLVD,,BRONX,NY,10461,718-766-9289,BRONX,http://harrishands.org,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"3439 BRUCKNER BLVD
BRONX, NY 10461
(40.846577, -73.82667)"
METRO NEW YORK DDSO,HELP ON THE WAY  INC.,1338 SOUTHERN BOULEVARD,,BRONX,NY,10459,718-484-7810,BRONX,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"1338 SOUTHERN BOULEVARD
BRONX, NY 10459
(40.831965, -73.89108)"
METRO NEW YORK DDSO,SOUTHEAST BRONX NEIGHBORHOOD CENTER  INC,955 TINTON AVENUE,,BRONX,NY,10456,718-542-2727,BRONX,http://www.sebnc.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"955 TINTON AVENUE
BRONX, NY 10456
(40.823246, -73.902931)"
