Company Name,Address,Address2,City,Category Name,URL,Hiring,Jobs URL,Why NYC,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
"""Document Prep-Program""'",' - ',' - ',' - ',,,,,,,,,,,,,,,
"""More than just Figleaves'",' - ',' - ',' - ',,,,,,,,,,,,,,,
#Fit4ME',' - ',' - ',' - ',,,,,,,,,,,,,,,
'brellaBox',' - ',' - ',' - ',,,,,,,,,,,,,,,
'wichcraft',' - ',' - ',' - ',,,,,,,,,,,,,,,
(GFree)dom',' - ',' - ',' - ',,,,,,,,,,,,,,,
0s&1s Novels',' - ',' - ',' - ',,,,,,,,,,,,,,,
1 Knickerbocker',' - ',' - ',' - ',,,,,,,,,,,,,,,
1 Main Street Capital',' - ',' - ',' - ',,,,,,,,,,,,,,,
10 Speed Labs','1239 Broadway','Penthouse','New York',,,,,,10001,MANHATTAN,40.747135,-73.988397,5,3,76,1082273,1008320001,Midtown-Midtown South                                                      
"1000|MUSEUMS, Inc'",' - ',' - ',' - ',,,,,,,,,,,,,,,
107 Models',' - ',' - ',' - ',,,,,,,,,,,,,,,
10Lines',' - ',' - ',' - ',,,,,,,,,,,,,,,
10gen',' - ',' - ',' - ',,,,,,,,,,,,,,,
11 Picas',' - ',' - ',' - ',,,,,,,,,,,,,,,
144 Investments',' - ',' - ',' - ',,,,,,,,,,,,,,,
"1754 & Company, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
1800Postcards.com','121 Varick Street','4th Floor','New York',,,,,,10013,MANHATTAN,40.724861,-74.005946,2,3,37,1009728,1005780067,SoHo-TriBeCa-Civic Center-Little Italy                                     
1800TAXISTA.COM INC',' - ',' - ',' - ',,,,,,,,,,,,,,,
18faubourg by Scharly Designer Studio',' - ',' - ',' - ',,,,,,,,,,,,,,,
1938 News','1 Astor Pl',' - ','New York',,,,,,10003,MANHATTAN,40.730054,-73.992629,2,2,57,1008806,1005450059,West Village                                                               
1DocWay',"'483 Broadway, Floor 2, New York, NY 10013'","'483 Broadway, Floor 2'",'New York',,,,,,10013,MANHATTAN,40.721543,-74.000076,2,1,47,1007048,1004740030,SoHo-TriBeCa-Civic Center-Little Italy                                     
1NEEDS1 LLC',' - ',' - ',' - ',,,,,,,,,,,,,,,
1Stop Energies',' - ',' - ',' - ',,,,,,,,,,,,,,,
1World New York',' - ',' - ',' - ',,,,,,,,,,,,,,,
1er Nivel S.A.',' - ',' - ',' - ',,,,,,,,,,,,,,,
1stTheBest Inc',' - ',' - ',' - ',,,,,,,,,,,,,,,
1stdibs.com','51 Astor Place','Third Floor','New York',,,,,,10003,MANHATTAN,40.730183,-73.99046,3,2,42,1089443,1005540035,East Village                                                               
20x200','6 Spring Street',' - ','New York',,,,,,10012,MANHATTAN,40.721104,-73.994224,2,1,41,1007140,1004780021,SoHo-TriBeCa-Civic Center-Little Italy                                     
"24eight, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
24symbols','42 West 24th Street ',' - ','New York',,,,,,10010,MANHATTAN,40.74276,-73.990437,5,3,58,1015587,1008250071,Hudson Yards-Chelsea-Flatiron-Union Square                                 
27 Perry',' - ',' - ',' - ',,,,,,,,,,,,,,,
29th Street Publishing',' - ',' - ',' - ',,,,,,,,,,,,,,,
2Cred',' - ',' - ',' - ',,,,,,,,,,,,,,,
2J2L',' - ',' - ',' - ',,,,,,,,,,,,,,,
2U (aka 2tor)',"'60 Chelsea Piers, Suite 6020'",' - ','New York',,,,,,10011,MANHATTAN,40.747999,-74.008496,4,3,99,1012256,1006620011,Hudson Yards-Chelsea-Flatiron-Union Square                                 
2findLocal','2637 E 27th St',' - ','New York',,,,,,,,,,,,,,,
2nd Nature Toys',' - ',' - ',' - ',,,,,,,,,,,,,,,
"303 Network, Inc.'",' - ',' - ','New York',,,,,,,,,,,,,,,
33across',"'229 West 28th Street, 12th Fl'",' - ','New York',,,,,,10001,MANHATTAN,40.747665,-73.994348,5,3,95,1014255,1007780020,Midtown-Midtown South                                                      
345 Design',"'49 Greenwich Ave, Suite 2'",' - ','New York',,,,,,10014,MANHATTAN,40.735668,-74.000581,2,3,71,1010893,1006120060,West Village                                                               
A.R.T.S.Y Magazine',' - ',' - ',' - ',,,,,,,,,,,,,,,
360VIDY','50 Greene Avenue',' - ','Brooklyn',,,,,,11238,BROOKLYN ,40.686143,-73.970678,2,35,179,3055849,3019570030,Fort Greene                                                                
360i','32 Avenue of the Americas','6th Floor','New York',,,,,,10013,MANHATTAN,40.72008,-74.005184,1,1,33,1002192,1001920001,SoHo-TriBeCa-Civic Center-Little Italy                                     
"3FLOZ, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
3Floz.com','100 John St Suite 1601',' - ','New York',,,,,,10038,MANHATTAN,40.707984,-74.006164,1,1,1502,1001127,1000697502,Battery Park City-Lower Manhattan                                          
"3P Partners, Inc'",' - ',' - ',' - ',,,,,,,,,,,,,,,
3S Pharmacy',' - ',' - ',' - ',,,,,,,,,,,,,,,
3Top','55 Broad St.','15th Floor','New York',,,,,,10004,MANHATTAN,40.705189,-74.011505,1,1,9,1000821,1000250001,Battery Park City-Lower Manhattan                                          
3doo Inc',' - ',' - ',' - ',,,,,,,,,,,,,,,
4 Play',' - ',' - ',' - ',,,,,,,,,,,,,,,
420 Spirits Inc.',' - ',' - ',' - ',,,,,,,,,,,,,,,
42stats',' - ',' - ',' - ',,,,,,,,,,,,,,,
AJM Inc.',' - ',' - ',' - ',,,,,,,,,,,,,,,
AJR Business Solutions Inc',' - ',' - ',' - ',,,,,,,,,,,,,,,
4C Insight (The Echo System)','1133 Broadway','Suite 1420','New York',,,,,,10010,MANHATTAN,40.743523,-73.989073,5,3,58,1015625,1008270049,Hudson Yards-Chelsea-Flatiron-Union Square                                 
4Front Partners Inc.',' - ',' - ',' - ',,,,,,,,,,,,,,,
4GQR Ventures LLC dba PhotoQR.com',' - ',' - ',' - ',,,,,,,,,,,,,,,
4URSPACE',' - ',' - ',' - ',,,,,,,,,,,,,,,
"4f tech, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
5 O'clock Records',' - ',' - ',' - ',,,,,,,,,,,,,,,
5ivepoints',' - ',' - ',' - ',,,,,,,,,,,,,,,
6-ocean',' - ',' - ',' - ',,,,,,,,,,,,,,,
"675 Beech, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
680 Partners LLC',"'680 5th Avenue, 10th Floor'",' - ','New York',,,,,,10019,MANHATTAN,40.760703,-73.975634,5,4,104,1034532,1012690041,Midtown-Midtown South                                                      
72Lux',' - ',' - ',' - ',,,,,,,,,,,,,,,
72looks',' - ',' - ',' - ',,,,,,,,,,,,,,,
789 Group',' - ',' - ',' - ',,,,,,,,,,,,,,,
8 Path Solutions LLC',"'""226 W 78TH ST #2A",,,,,,,,,,,,,,,,,
"New York, NY 10024""'",'226 W 78TH ST #2A','New York','http://www.8pathsolutions.com/,,,,,,,,,,,,,,,
86shifts.com',' - ',' - ',' - ',,,,,,,,,,,,,,,
87AM','61 Broadway',' - ','New York',,,,,,10006,MANHATTAN,40.706995,-74.012335,1,1,13,1000808,1000210001,Battery Park City-Lower Manhattan                                          
89 Second Productions','1727 2nd Ave Apt 4FN',' - ','New York',,,,,,10128,MANHATTAN,40.780056,-73.950171,8,5,154,1048892,1015350022,Yorkville                                                                  
8coupons','116 W. 23rd St.','5th floor','New York',,,,,,10011,MANHATTAN,40.743218,-73.993562,4,3,91,1014802,1007980041,Hudson Yards-Chelsea-Flatiron-Union Square                                 
