Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Location
Albany Academy,Albany,02/18/1971,90NR02804,-73.75499337620136,42.65302767240881,"(42.65302767240881, -73.75499337620136)"
Albany City Hall,Albany,09/04/1972,90NR01637,-73.75439823693574,42.65173297088841,"(42.65173297088841, -73.75439823693574)"
Albany Felt Company Complex,Albany,02/14/2014,13NR06511,-73.73378600736434,42.67686079441768,"(42.67686079441768, -73.73378600736434)"
Albany Glassworks Site,Albany,07/22/1980,90NR01670,-73.91137690954258,42.69978987407644,"(42.69978987407644, -73.91137690954258)"
Albany Institute of History and Art,Albany,07/12/1976,90NR01636,-73.76033655012141,42.65578201651399,"(42.65578201651399, -73.76033655012141)"
Albany Rural Cemetery,Albany,10/25/1979,90NR02835,-73.7338978700751,42.70785156920491,"(42.70785156920491, -73.7338978700751)"
Albany Union Station,Albany,02/18/1971,90NR01621,-73.74931912908166,42.65142143449245,"(42.65142143449245, -73.74931912908166)"
Alcove Historic District,Albany,07/24/1980,90NR02765,-73.925948911161,42.46904797755791,"(42.46904797755791, -73.925948911161)"
Altamont Fairground Fine Arts and Flower Building,Albany,01/28/2004,03NR05078,-74.02884743251043,42.69842254059191,"(42.69842254059191, -74.02884743251043)"
Altamont Historic District,Albany,11/10/1982,89NR00005,-74.02980550821883,42.7021234653868,"(42.7021234653868, -74.02980550821883)"
Apple Tavern,Albany,11/10/1982,90NR01679,-73.98591708611787,42.70987997722013,"(42.70987997722013, -73.98591708611787)"
Arbor Hill Historic District,Albany,09/29/1984,90NR02805,-73.75211728417365,42.65768037165876,"(42.65768037165876, -73.75211728417365)"
"Arnold, Benjamin Walworth, House and Carriage House",Albany,07/26/1982,90NR02807,-73.76733583474306,42.65912031621525,"(42.65912031621525, -73.76733583474306)"
"Arnold, Benjamin Walworth, House and Carriage House",Albany,07/26/1982,90NR02807,-73.76843569784096,42.65868334526825,"(42.65868334526825, -73.76843569784096)"
Aumic House,Albany,11/10/1982,90NR01652,-74.0346437867284,42.68733105739768,"(42.68733105739768, -74.0346437867284)"
"Babcock, Dr. John, House",Albany,12/10/2003,03NR05097,-73.8131809141953,42.54949020737651,"(42.54949020737651, -73.8131809141953)"
Bacon-Stickney House,Albany,10/03/1985,90NR01651,-73.75373572492211,42.70681898756504,"(42.70681898756504, -73.75373572492211)"
Bennett Hill Farm,Albany,12/05/2003,03NR05114,-73.96171403523432,42.5711409775159,"(42.5711409775159, -73.96171403523432)"
Bethleham Grange No. 137,Albany,01/11/2002,01NR01855,-73.80938665231905,42.54843099742918,"(42.54843099742918, -73.80938665231905)"
Bethlehem House,Albany,04/11/1973,90NR01627,-73.76700223098926,42.54409706537749,"(42.54409706537749, -73.76700223098926)"
"Blaisdell, Fletcher, Farm Complex",Albany,03/12/2001,01NR01737,-73.7995052291095,42.47235834618111,"(42.47235834618111, -73.7995052291095)"
Bleecker Stadium and Swinburne Park,Albany,02/20/2018,16NR00123,-73.7759723681403,42.67040921643176,"(42.67040921643176, -73.7759723681403)"
Brigadier General David McCarty Stone Cottage,Albany,07/28/2015,15NR00015,-73.79217935927136,42.47453481154786,"(42.47453481154786, -73.79217935927136)"
Broadway-Livingston Avenue Historic District,Albany,01/07/1988,89NR00008,-73.74768348918876,42.65820035645663,"(42.65820035645663, -73.74768348918876)"
Bryan's Store,Albany,10/04/1979,90NR01685,-73.75418147705093,42.70581413769349,"(42.70581413769349, -73.75418147705093)"
Building at 44 Central Avenue,Albany,02/14/2014,13NR06507,-73.76547666885463,42.65832507388989,"(42.65832507388989, -73.76547666885463)"
"Buildings at 744, 746, 748, 750 Broadway",Albany,12/17/1987,90NR02809,-73.74890316868093,42.65634994001745,"(42.65634994001745, -73.74890316868093)"
"Byrne, Senator William T., House",Albany,10/03/1985,90NR01678,-73.75477471817636,42.70982571136334,"(42.70982571136334, -73.75477471817636)"
Calvary Methodist Episcopal Church,Albany,02/28/2008,06NR05595,-73.79193267470781,42.66484348641853,"(42.66484348641853, -73.79193267470781)"
Cathedral of All Saints,Albany,07/25/1974,90NR02810,-73.75775586099004,42.65462179316685,"(42.65462179316685, -73.75775586099004)"
Cathedral of the Immaculate Conception,Albany,06/08/1976,90NR02811,-73.75986331762972,42.64764351302865,"(42.64764351302865, -73.75986331762972)"
Center Square/Hudson-Park Historic District,Albany,03/18/1980,90NR00012,-73.76489439526051,42.65234379242253,"(42.65234379242253, -73.76489439526051)"
Chapel House,Albany,11/10/1982,90NR01653,-73.83051829766919,42.68277607048476,"(42.68277607048476, -73.83051829766919)"
Cherry Hill,Albany,02/18/1971,90NR01673,-73.76406651597951,42.63458580248061,"(42.63458580248061, -73.76406651597951)"
Church of the Holy Innocents,Albany,01/31/1978,90NR01622,-73.7481539521744,42.65871307466889,"(42.65871307466889, -73.7481539521744)"
Clarksville Elementary School,Albany,07/03/2008,08NR05851,-73.95433477312896,42.57746457860867,"(42.57746457860867, -73.95433477312896)"
Clinton Avenue Historic District,Albany,09/01/1988,89NR00006,-73.76009330251213,42.6601717546085,"(42.6601717546085, -73.76009330251213)"
"Coeymans, Ariaantje, House",Albany,10/18/1972,90NR02767,-73.79165572500405,42.47659556554736,"(42.47659556554736, -73.79165572500405)"
Coeymans-Bronk Stone House,Albany,11/15/2003,03NR05107,-73.79117796410503,42.46633966837862,"(42.46633966837862, -73.79117796410503)"
Coeymans Landing Historic District,Albany,03/26/2018,17NR00042,-73.79441390776084,42.47228515200593,"(42.47228515200593, -73.79441390776084)"
Coeymans School (Acton Civill Polytechnic Institute),Albany,12/29/1970,90NR02766,-73.79820689223273,42.4727451232822,"(42.4727451232822, -73.79820689223273)"
"Cohoes Company Head Gatehouse, Dam and Headrace",Albany,,96NR01103,-73.71346315928196,42.79433097301563,"(42.79433097301563, -73.71346315928196)"
Conkling-Boardman-Eldridge House,Albany,02/02/2016,15NR00018,-74.1242641948789,42.52779008427472,"(42.52779008427472, -74.1242641948789)"
Coppola House,Albany,11/10/1982,90NR01654,-74.0395658214601,42.69146251395146,"(42.69146251395146, -74.0395658214601)"
"Cramer, Frederick, House",Albany,10/03/1985,90NR02768,-73.76978349416063,42.69745682820231,"(42.69745682820231, -73.76978349416063)"
"Crounse, Frederick, House",Albany,11/10/1982,90NR01680,-74.01965917542528,42.68025845979872,"(42.68025845979872, -74.01965917542528)"
"Crounse, Jacob, Inn",Albany,11/10/1982,90NR01628,-74.01881445003772,42.70546877480212,"(42.70546877480212, -74.01881445003772)"
"Crounse, John and Henry, Farm Complex",Albany,11/10/1982,90NR01629,-74.01696932122393,42.67641502435613,"(42.67641502435613, -74.01696932122393)"
Delaware and Hudson Railroad Company Building,Albany,03/16/1972,90NR01638,-73.74958646411694,42.64799658118745,"(42.64799658118745, -73.74958646411694)"
Delaware and Hudson Railroad Passenger Station,Albany,08/12/1971,90NR01677,-74.03292156451346,42.70091560196213,"(42.70091560196213, -74.03292156451346)"
Delaware Avenue Firehouse (Hook & Ladder No. 4),Albany,03/12/2001,01NR01738,-73.77967162868367,42.64154249251502,"(42.64154249251502, -73.77967162868367)"
"Dickey, William J., House",Albany,02/20/1998,90NR02866,-73.70568314076206,42.7715517938432,"(42.7715517938432, -73.70568314076206)"
District School No. 1,Albany,05/20/1998,98NR01336,-73.76971901308956,42.55303905899184,"(42.55303905899184, -73.76971901308956)"
District School No. 7,Albany,05/16/1996,96NR00973,-73.89993597057563,42.47374385240349,"(42.47374385240349, -73.89993597057563)"
Downtown Albany Historic District,Albany,01/31/1980,89NR00009,-73.75159876132028,42.65011887336502,"(42.65011887336502, -73.75159876132028)"
Downtown Cohoes Historic District,Albany,09/13/1984,90NR02823,-73.70044892889271,42.7734390436872,"(42.7734390436872, -73.70044892889271)"
"Dunsbach, Martin, House",Albany,10/03/1985,90NR02769,-73.7568726616572,42.78488306627821,"(42.78488306627821, -73.7568726616572)"
Enlarged Erie Canal Historic District (Discontiguous),Albany,05/14/2004,03NR05118,-73.70619340450467,42.7805080721812,"(42.7805080721812, -73.70619340450467)"
Enlarged Erie Canal Historic District (Discontiguous),Albany,05/14/2004,03NR05118,-73.70394923775348,42.77313565331409,"(42.77313565331409, -73.70394923775348)"
Enlarged Erie Canal Historic District (Discontiguous),Albany,05/14/2004,03NR05118,-73.70196126513139,42.76170383532195,"(42.76170383532195, -73.70196126513139)"
Enlarged Erie Canal Historic District (Discontiguous),Albany,05/14/2004,03NR05118,-73.71003215275043,42.78264982109944,"(42.78264982109944, -73.71003215275043)"
Enlarged Erie Canal Historic District (Discontiguous),Albany,05/14/2004,03NR05118,-73.70249297794807,42.76501051775462,"(42.76501051775462, -73.70249297794807)"
Enlarged Erie Canal Historic District (Discontiguous),Albany,05/14/2004,03NR05118,-73.70381781422739,42.77733322058709,"(42.77733322058709, -73.70381781422739)"
First Congregational Church of Albany,Albany,05/27/2014,14NR06533,-73.7860881330614,42.65410707241612,"(42.65410707241612, -73.7860881330614)"
First Reformed Church,Albany,01/21/1974,90NR01639,-73.75072797311142,42.65359402156391,"(42.65359402156391, -73.75072797311142)"
First Reformed Dutch Church of Bethlehem,Albany,11/25/2002,02NR01925,-73.80244218469267,42.56531982746495,"(42.56531982746495, -73.80244218469267)"
First Trust Company Building,Albany,01/18/1973,90NR01623,-73.75106655443021,42.64921023939205,"(42.64921023939205, -73.75106655443021)"
Fonda House,Albany,04/21/2004,03NR05108,-73.72687661984813,42.76940518208929,"(42.76940518208929, -73.72687661984813)"
Former Reformed Protestant Church of Coeymans Parsonage,Albany,,15NR00016,-73.79523580336371,42.4748291740146,"(42.4748291740146, -73.79523580336371)"
Freeman House,Albany,11/10/1982,90NR01655,-73.96320543443869,42.70253150252507,"(42.70253150252507, -73.96320543443869)"
"Fuller, Royal K., House",Albany,10/03/1985,90NR02770,-73.75255302817187,42.68344777613375,"(42.68344777613375, -73.75255302817187)"
Fuller's Tavern,Albany,11/10/1982,90NR01681,-73.95706773209088,42.72489112565894,"(42.72489112565894, -73.95706773209088)"
Gardner House,Albany,11/10/1982,90NR01656,-74.00060122353487,42.67309928240022,"(42.67309928240022, -74.00060122353487)"
Gifford Grange Hall,Albany,11/10/1982,90NR01657,-74.01465477506348,42.74018721736919,"(42.74018721736919, -74.01465477506348)"
Gillespie House,Albany,11/10/1982,90NR01658,-73.92960002919168,42.7125679903332,"(42.7125679903332, -73.92960002919168)"
Godfrey Farmhouse,Albany,10/04/1979,94NR00698,-73.73428064581094,42.8077512912631,"(42.8077512912631, -73.73428064581094)"
Goodrich School,Albany,09/22/2000,00NR01645,-73.74558413086133,42.72856967298014,"(42.72856967298014, -73.74558413086133)"
Gorham House,Albany,10/04/1979,90NR02771,-73.75177448077301,42.69199083071065,"(42.69199083071065, -73.75177448077301)"
Guilderland Cemetery Vault (Cobblestone),Albany,11/10/1982,90NR01687,-73.9879790412918,42.71407304101352,"(42.71407304101352, -73.9879790412918)"
"Hall, James, Office",Albany,12/08/1976,90NR01641,-73.76867619211389,42.64612508097661,"(42.64612508097661, -73.76867619211389)"
Hamilton Union Church Rectory,Albany,11/10/1982,90NR01659,-73.90723915795286,42.70318184198466,"(42.70318184198466, -73.90723915795286)"
Hamilton Union Presbyterian Church,Albany,11/10/1982,90NR01630,-73.90876692365487,42.70366263681014,"(42.70366263681014, -73.90876692365487)"
Harmanus Bleecker Library,Albany,05/16/1996,96NR00931,-73.7616270896215,42.65537193407118,"(42.65537193407118, -73.7616270896215)"
Harmony Mill Historic District,Albany,01/12/1978,90NR02825,-73.70589570192121,42.78147845020315,"(42.78147845020315, -73.70589570192121)"
Harmony Mill No. 3,Albany,02/18/1971,90NR02826,-73.70529324947087,42.78202103886558,"(42.78202103886558, -73.70529324947087)"
"Haswell, Isaac M., House",Albany,10/03/1985,90NR02772,-73.72565146871756,42.74854359006611,"(42.74854359006611, -73.72565146871756)"
