Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Waste Management of New York Port of Albany,100 Boat St,,Albany,NY,12202,Albany,4,5185333305,Waste Management NY,Private,Transfer station - permit,[01T67],Yes,601751,4720216,,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Glass;Single Stream;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous),Permit,4-0101-00185/00002,12/01/2016,11/30/2021,"100 Boat St
Albany, NY 12202
(42.628023, -73.758778)"
Waste Management of NY (EWI),21 Gansevoort Street,,Albany,NY,12202,Albany,4,5184634433,Waste Management of NY LLC,Private,Transfer station - permit,[01T70],Yes,602000,4721500,,MSW (Residential/Institutional & Commercial),Permit,4-0101-00283/00001,05/02/2018,05/01/2028,"21 Gansevoort Street
Albany, NY 12202
(42.637741, -73.757698)"
Berne Transfer Station,1809 Helderberg Trail,,Berne,NY,12023,Albany,4,5188720451,Town of Berne,Municipal,Transfer station - registration,[01R20],Yes,569733,4719461,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Corrugated Cardboard;Waste Tires;Electronics,Registration,01R20R,,,"1809 Helderberg Trail
Berne, NY 12023
(42.624456, -74.148758)"
Colonie (T) SWMF,1319 New Loudon road,,Colonie,NY,12047,Albany,4,5187832827,Town of Colonie,Municipal,Transfer station - permit,[01T26],Yes,603609,4740925,1 - No accuracy stated,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),Permit,4-0126-00033/00001,04/05/2018,04/04/2028,"1319 New Loudon road
Colonie, NY 12047
(42.809404, -73.732954)"
Colonie Yard Waste Transfer Station,748 Watervliet Shaker Road,,Colonie,NY,12205,Albany,4,,,,Transfer station - registration,[01R27],Yes,599057,4732516,,,,,,,"748 Watervliet Shaker Road
Colonie, NY 12205"
BFI Runway Ave Waste TS,136 Sicker Avenue,,Latham,NY,12110,Albany,4,5187857030,Allied Waste Systems of North America,Private,Transfer station - permit,[01T33],Yes,598974,4734048,,Construction & Demolition Debris;Sludge (Industrial);Metals (Ferrous & Non-Ferrous),Permit,4-0126-00020/00003,12/15/2009,04/26/2020,"136 Sicker Avenue
Latham, NY 12110
(42.750885, -73.800642)"
Murphy Rolloff Inc,119 Wade Road,,Latham,NY,12110,Albany,4,5186084358,Michael Evereth,Private,Transfer station - permit,[01T17],Yes,599287,4733451,,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous),Permit,4-0126-00631/00001,11/10/2011,11/09/2021,"119 Wade Road
Latham, NY 12110
(42.746708, -73.786533)"
Menands Enviromental Solutions LLC,22 Simmons Lane,,Menands,NY,12204,Albany,4,5187857030,Allied Waste of North America,Private,Transfer station - permit,[01T25],Yes,604155,4726220,,MSW (Residential/Institutional & Commercial),Permit,4-0126-00403/00001,02/28/2018,02/27/2028,"22 Simmons Lane
Menands, NY 12204
(42.680108, -73.72924)"
Bethlehem Transfer Station,136 Rupert Road,,Selkirk,NY,12158,Albany,4,5184394955,Town of Bethlehem,Municipal,Transfer station - registration,[01R22],Yes,594196,4710159,,,Registration,4012200009,,,"136 Rupert Road
Selkirk, NY 12158
(42.538772, -73.853171)"
Hauser Trucking,9 Crabapple Lane,,Watervliet,NY,12189,Albany,4,5182716100,Hauser Warehouse and Storage; Inc,Private,Transfer station - registration,[01R05],Yes,605684,4732817,4.1 - Address Matching,Yard Waste,Registration,01R05,03/01/2017,,"9 Crabapple Lane
Watervliet, NY 12189
(42.740862, -73.710897)"
